article,reason,comment
Herbfarm,copyright,Listed on [[WP:CP]] since Feb 25. content was: '{{copyvio|url=http://www.herbfarm.com/HfHistory1.tmpl?Session=%5BSession%5D&Cart=1096196510591643&WidthX=800&Src=%5BSrc%5D}}'
Von,copyright,"Listed on [[WP:CP]] since Feb 28. content was: '{{copyvio|url=http://worldroots.com/brigitte/royal/germannobility.htm}}  [[User:TrueGnu|TrueGnu]] 09:28, 28 Feb 2005 (UTC)'"
Central State University,copyright,Listed on [[WP:CP]] since March 3. content was: '{{copyvio|url=http://www.centralstate.edu/legacy/about/history.html}}'
Holly McNarland,copyright,"Listed on [[WP:CP]] since March 3. content was: '{{copyvio|url=http://www.canadians.ca/more/profiles/m/m_holly_mcnarland.htm}}[[User:Yamla|Yamla]] 18:51, 2005 Mar 3 (UTC)'"
Absolute Friends,copyright,"Listed on [[WP:CP]] since March 3. content was: '{{copyvio1}}http://www.reviewsofbooks.com/absolute_friends/{{copyvio2}}-[[User:SimonP|SimonP]] 19:10, Feb 27, 2005 (UTC)'"
Alam Ara,copyright,Listed on [[WP:CP]] since March 6. content was: '{{copyvio|url=http://www.angelfire.com/movies/madhuri/alamara.htm}}'
Ted Berrigan,copyright,Listed on [[WP:CP]] since March 10. content was: '{{copyvio|url=http://www.onlinepoetryclassroom.org/poets/poets.cfm?prmID=741}}'
Denton welch,copyright,Listed on [[WP:IFD]] since March 13. content was: '{{copyvio|url=http://alex.edfac.usyd.edu.au/BLP/websites/LOUTTIT%20WEBSITE/index.HTM}}'
The Rosicrucian Cosmo-Conception,copyright,Listed on [[WP:CP]] since March 15. content was: '{{copyvio|url=http://www.rosicrucian.com/vsc/describe.htm}}'
Christopher Saxton,copyright,Listed on [[WP:CP]] since March 21. content was: '{{copyvio|url=http://www.antiquemaps.co.uk/chapter15.html}}'
Bequia,copyright,Listed on [[WP:CP]] since March 23. content was: '{{copyvio|url=http://www.islandtimeholidays.com/Bequia.htm}}'
PhysX,copyright,"Listed on [[WP:CP]] since March 23. content was: '{{copyvio|url=http://www.ageia.com/technology.html}}--[[User:RadioActive|RadioActive]] 18:37, 23 Mar 2005 (UTC)'"
The Royal Northumberland Fusiliers,copyright,"Listed on [[WP:CP]] since March 24. content was: '{{copyvio|url=http://www.army.mod.uk/fusiliers/battalions/1st_battalion/history_of_the_regiment/the_fifth_of_foot.htm}}[[User:Gsl|Geoff/Gsl]] 03:21, ...'"
Sant Jarnail Singh Bhindranwale,copyright,listed as copyvio since March 24
Timewheel,copyright,Listed on [[WP:CP]] for over a week. content was: '{{copyvio|url=http://www.google.nl/search?q=cache:pZuOOlQMdoMJ:www.idokerek.hu/new/eng/twheel/doc1.html+%22Timewheel%22+%22You+are+invited+to+open+you...'
Gopichand Narang,copyright,"Listed on [[WP:CP]] for over a week. content was: '{{copyvio|url=http://www.dawn.com/weekly/books/books7.htm&lt;br&gt;Note that a Google search reveals evidence that the content was once on this page, althou...'"
Zia Mohyeddin,copyright,Listed on [[WP:CP]] for over a week. content was: '{{copyvio|url=http://www.imdb.com/name/nm0596109/bio&lt;br&gt;http://www.imdb.com/name/nm0596109/maindetails}}'
T. K. Wetherell,copyright,Listed on [[WP:CP]] for over a week. content was: '{{copyvio|url=http://www.fsu.edu/~pres/pages/bio.html}}==As of now==I have requested permission from the school. I will hear from them soon.'
FHM 100 Sexiest Women in the World 2005,copyright,previously deleted copyvio
AIGA,copyright,content was: '{{copyvio|url=http://www.aiga.org/content.cfm/aboutaiga}}'
Tamarisk tree,copyright,content was: '{{copyvio|url=http://dictionary.reference.com/search?q=tamarisk}}'
University of Thessaly,copyright,content was: '{{copyvio|url=http://www.uth.gr/main/welcome/history/history_en.html}}'
Rawalpindi Medical College,copyright,content was: '{{copyvio|url=http://www.pmc.edu.pk/prospectus_history.htm}}'
Koronadal City,copyright,content was: '{{copyvio|url=http://www.lakbaypilipinas.com/travel_koronadal.html}}'
The Theory of Artificial Intelligence,copyright,content was: '{{copyvio|url=Microsoft Encarta Encyclopedia 1996-2005}}'
Diagnosis: Murder,copyright,copyvio (    http://www.tvtome.com/DiagnosisMurder/ and http://www.pax.tv/shows/diagnosi/ )
Nick Donofrio,copyright,"content was: '{{Copyvio| url=http://64.233.161.104/search?q=cache:s7TIurEtMXMJ:www.computerhistory.org/ibmS360_04072004/bios/donofrio.page+%22In+2002,+Mr.+Donofrio+...'"
Saint seiya,copyright,content was: '{{copyvio|url=http://www.icavalieridellozodiaco.it/differenze.htm}}Saint Seiya è un manga conosciuto meglio in Italia col nome di 'Cavalieri dello Zo...'
Culture of El Salvador,copyright,content was: '#REDIRECT [[Culture of El Salvador/Copyvio]]'
Thomas Lunsford,copyright,"content was: '{{copyvio|url=http://www.british-civil-wars.co.uk/biog/index_l.htm}}' (CC 2.0, by-nc-sa)"
Belgic Confession,copyright,content was: '{{copyvio|url=http://www.prca.org/bc_index.html}}'
Sikander,copyright,"content was: '{{copyvio|url=http://www.upperstall.com/people/prithviraj.html}}[[User:KFP|KFP]] 08:44, 1 May 2005 (UTC)'"
Altiero Spinelli,copyright,"copyvio, see talk [[Talk:Altiero Spinelli]]"
Belk,copyright,content was: '{{pending delete}}{{copyvio|url=http://www.belk.com/main/about_history.jsp?bmUID=1112215832936}}'
Business valuation,copyright,content was: '{{copyvio|url=http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%222004...'
Canadian Rangers,copyright,content was: '{{pending delete}}{{copyvio|url=http://www.rangers.forces.gc.ca/pubs/rangers/intro_e.asp}}'
Alden W. Clausen,copyright,copyvio
Hurriganes,copyright,copyvio
The Hill School,copyright,content was: '{{copyvio|url=http://www.thehill.org/home/content.asp?id=311}}'
