article,reason,comment
Article 370 of the Constitution of India,copyright,"Deleting per AFD, going to recreate as a non-copyvio redirect ([[Wikipedia:Articles for deletion/Article 370 of the Constitution of India]])"
Vicki Walker,copyright,Copyvio; listed on [[WP:CP]] since Nov 15; http://walkerforgovernor.com/bio.php
JIRA (software),copyright,content was: '{{copyvio|url=https://www.atlassian.com/software/jira/default.jsp}}'
Lili Ivanova,copyright,content was: '{{copyvio|url=http://en.wikipedia.org/wiki/Talk:Lili_Ivanova}}'
Afghan rug,copyright,leftover broken redirect to copyright violation
Manouchehr Atashi,copyright,content was: '{{copyvio|url=http://www.caroun.com/Literature/Iran/Poets/ManouchehrAtashi/ManouchehrAtashi.html}}'yep copyvio
88 Fingers Louie,copyright,"Copyvio, listed on [[WP:CP]] since since [[Wikipedia:Copyright problems/2005 December 17|December 17]]. No claim of permission (author mistakedly asumed that (c) 2004 means the [[copyright]] expired after 2004). Copied from http://punkhardcore.com/bands_d"
Macedonian Canadians,copyright,content was: '{{copyvio|http://www.macedonianhistory.ca/}}'
Major League Gaming,copyright,content was: '{{copyvio|url=http://www.mlgpro.com/official_rules.php}}'
Louis Cartier,copyright,copyvio http://www.secondtimeround.com/cartier%20history.html
Sarban,copyright,content was: '{{copyvio|http://homepages.pavilion.co.uk/users/tartarus/wall.html}}'
Fuel TV,copyright,copyvio advert
College Sports Television,copyright,copyvio advert
Battle of Neuve Chapelle,copyright,copyvio http://www.lib.byu.edu/~rdh/wwi/1915/neuvecha.html
Chris Okotie,copyright,"content was: '{{copyvio|url=http://www.onlinenigeria.com/links/Okotieadv.asp?blurb=594}} [[User:Squibix|squibix]] 18:28, 21 December 2005 (UTC)'"
The Hershey Montessori Farm School,copyright,[[WP:CSD|Criteria for Speedy Deletion]] A8 (copyright violation)
Taner Akçam,copyright,"copyvio http://www.armeniapedia.org/index.php?title=Taner_Akcam, source says content copyrighted"
Veronica Lueken,copyright,Delete as per CSD A8; notified uploader. copied from http://www.tldm.org/veronica/VeronicaBiography.htm
OAG,copyright,content was: ''''OAG''' is an acronym for [[open angle glaucoma]].{{copyvio|url=http://www.aaco.org/partners.asp}}'
Mount Sinai School of Medicine,copyright,copyvio http://www.mssm.edu/theschool/intro.shtml
Jediism,copyright,copyright violation content was: '{{copyvio|url=http://www.crank.net/sf.html}}'
International Freedom Foundation,copyright,"Copyvio, requested by author, a new temp page has been created which I'll move here"
Medha Patkar,copyright,content was: '{{copyvio|url=http://www.sawnet.org/whoswho/?Patkar+Medha}}'
Mattaponi,copyright,content was: '{{db|Copyvio blanked by creator; I think this can be reasonably speedied under [[WP:CSD#G7|CSD G7]].}}'
Oh Festivus,copyright,Temporarily delete to remove copyrighted content that vandal keeps on sneaking back in content was: '#REDIRECT [[Festivus]]'
Guatemalan Civil War,copyright,still a copyvio of http://www.globalsecurity.org/military/world/war/guatemala.htm
William Guy Carr,copyright,Copyvio. Listed on [[WP:CP]] since January 11. No claim of permission. Article copied from http://www.topsecrets.co.kr/books/conspiracy_sub/c17.html
Dyfuca,copyright,yep copyvio
John Mullins,copyright,copyvio listed at [[WP:CP]] for more than 7 days
Sony Ericsson W810,copyright,Copyvio listed at [[WP:CP]] for more than 7 days
Fisherface,copyright,Delete to clear copyvio prior to redirect
Muhammad Asad,copyright,"Copyvio; listed on [[WP:CP]] since Jan 13; http://www.saudiaramcoworld.com/issue/200201/berlin.to.makkah-muhammad.asad.s.journey.into.islam.htm, http://www.washington-report.org/backissues/0995/9509045.htm, http://www.islamicity.com/Articles/articles.asp?"
Vanish,copyright,"content was: '{{copyvio|url=""http://www.ask.com/reference/dictionary/ahdict/138229/vanished""}}', The American Heritage Dictionary of the English Language, Fourth Edition"
Bradley Smith,copyright,"Text dump, copyvio"
Sweetwater Saloon,copyright,content was: '{{db-copyvio|url=http://www.sweetwatersaloon.com}}{{copyvio|url=http://www.sweetwatersaloon.com}}'
Gary Dunham,copyright,clearing copyright problems from history
FIFA 100,copyright,copyright problem with the list aspect; will recreate with text only
Árkossy István,copyright,"content was: '{{copyvio | url=http://www.arkossy.com/Exhibitions%20EN.htm}} [[User:Akamad|Akamad]] 10:38, 18 January 2006 (UTC)I personally own the www.arkossy.co...'"
National Center for Atmospheric Research,copyright,copyvio http://www.ncar.ucar.edu/ncar/about.html
Walter Hoving,copyright,copyvio: http://query.nytimes.com/search/query?ppds=org&v1=TIFFANY%20%26%20CO&fdq=19810101&td=sysdate&sort=newest&n=10&frow=110
Greens Farms Academy,copyright,content was: '{{copyvio|url=http://www.gfacademy.org/pages/sitepage.cfm?id=138}}the source page is clearly marked ''© 1995-1997 Archives Committee of Greens Farms...'
Radiant heating,copyright,"content was: '{{copyvio | url=http://www.hvac.bobvila.com/Article/761.html}} [[User:JoaoRicardo|JoaoRicardo]]<sup>[[User talk:JoaoRicardo|talk]] </sup> 21:07, 20 Ja...'"
Fungus gnat,copyright,"content was: '{{copyvio | url=http://ohioline.osu.edu/hyg-fact/2000/2114.html}} [[User:MPF|MPF]] 11:11, 24 January 2006 (UTC)[[Category:Flies]][[Category:Insects...'"
Joseph Culp,copyright,content was: '{{copyvio|url=http://www.moviehole.net/reviews/602.html}}'
Ken Linseman,copyright,will restore non-copyvio revisions
Pu Zoramthanga,copyright,"content was: '{{copyvio|url=http://mizoram.nic.in/gov/cm.htm}}[[User:Rmhermen|Rmhermen]] 16:11, 28 January 2006 (UTC)'"
Daniel Greene,copyright,content was: '{{copyvio|url=http://www.art-interview.com/Issue_002/interview_Greene-Daniel.html}}'
Mata Gujri,copyright,copyvio
The Good German,copyright,copyvio
Zulu Social Aid & Pleasure Club,copyright,WP:OFFICE pending copyright investigation
QMW,copyright,content was: '{{copyvio|url=http://www.smd.qmul.ac.uk/about/}}'
Christchurch Polytechnic Institute of Technology,copyright,"deleting to expunge copyvio, will restore"
Marist College Canberra,copyright,delete to expunge copyvio
Atul Kulkarni,copyright,all rev contain copyvio http://www.atul-kulkarni.com/biography.html
Under Defeat,copyright,"expunging copyvio, will restore"
The Marching Morons,copyright,"copyvio, replacing with temp"
The Rock and Roll Hall of Fame's 500 Songs that Shaped Rock and Roll,copyright,copyright issues
Kenny Kramer,copyright,"expunge copyvio, will restore"
Cindy Cohn,copyright,"content was: '{{copyvio | url=http://www.eff.org/about/staff/}} Several senetences and overall structure.  [[User:GChriss|GChriss]] 23:05, 11 February 2006 (UTC)'"
The Red Paintings,copyright,"content was: '{{copyvio|url=http://www.theredpaintings.com/v2/bio.htm}}[[User:Jareha|jareha]] 00:32, 12 February 2006 (UTC)'"
Xerogel,copyright,content was: '{{copyvio|http://www.iupac.org/goldbook/X06700.pdf}}'''Xerogel''' is a term used for the dried out open structures which have passed a [[gel]] stage...'
David Harel,copyright,"Listed on [[WP:CP]] for more than 7 days. content was: '{{copyvio | url=http://www.wisdom.weizmann.ac.il/~dharel/biography.html}} [[User:Robert Weemeyer|Robert Weemeyer]] 00:58, 13 February 2006 (UTC)[[Ca...'"
Evangelical Church of North America,copyright,[[Wikipedia:Copyright problems/2006 February 13]]
Dj Aligator,copyright,copyvio
Otterbein College,copyright,Listed on [[WP:CP]] for more than 7 days. content was: '{{copyvio|http://www.otterbein.edu/}}'
Alexander Freiherr von Krobatin,copyright,content was: '{{copyvio|http://www.geocities.com/veldes1/krobatin.html}}'
Halston,copyright,"content was: '{{copyvio | url=http://www.glbtq.com/arts/halston.html}} [[User:EWS23|EWS23]] | [[User talk:EWS23|(Leave me a message!)]] 02:53, 19 February 2006 (UTC...'"
Miliou,copyright,copyvio
Abdali,copyright,copyright infringement
New Zealand slang,copyright,copyvio from http://www.nz-immigration.co.nz/lifestyles/slang-words.html
"Vere Ponsonby, 9th Earl of Bessborough",copyright,"content was: '{{copyvio | url=http://www.gg.ca/gg/fgg/bios/01/bessborough_e.asp}} --[[User:Martyman|Martyman]]-<small>[[User_Talk:Martyman|(talk)]]</small> 11:28, 2...'"
Unan1mous,copyright,content was: '{{copyvio|url=http://www.fox.com/unanimous/}}'
Tassimo,copyright,per original author request. content was: '{{copyvio|url=http://www.tassimo-world.com/}}==External links==*[http://www.tassimodirect.com Official Tassimo web site]*[http://www.singleserveco...'
OQL,copyright,content was: '{{copyvio|url=http://www.cisco.com/univercd/cc/td/doc/product/rtrmgmt/cw2k4mw/mwfm/mwfm201/mwfmtop/33oql.htm}}'
Bob Wootton,copyright,content was: '{{copyvio|url=http://maninblack.net/t3/band.htm}}'
"David Berman (R.G.D., FGDC)",copyright,CSD-A8
Timna,copyright,content was: '{{copyvio | url=http://nabataea.net/timna.html}} &ndash; [[User:Quadell|Quadell]] <sup>([[User_talk:Quadell|talk]]) ([[Wikipedia:Bounty board|bounties...'
Yumbel,copyright,copy-paste copyvio
Francesco Aquilini,copyright,CSD A8
Contraction and Convergence,copyright,"Copyright infringement, pgs 2-3 of http://www.gci.org.uk/briefings/ICE.pdf"
Dave Audé,copyright,copyright violation of http://mtvshop.mtv.com/namepage.aspx?pid=P225773&type=P&loc=19222
Renzo Provinciali,copyright,removing copyvio text from the page history--will restore non-copyvio version shortly
Abdullah bin Jassim Al Thani,copyright,copyright violation of http://www.diwan.gov.qa/english/qatar/AbdullahBinQassim.htm
Karima Adebibe,copyright,content was: '{{copyvio|url=http://72.14.207.104/search?q=cache:NoKubruJDo8J:karimaadebibe.blogspot.com/2006_01_01_karimaadebibe_archive.html+%22Karima+hails+from+B...'
Self-realization,copyright,del to remove copyvio revisions from http://www.hinduism.co.za/self-rea.htm
"Nelson Bay, New South Wales",copyright,"content was: '{{copyvio | url=http://www.auinfo.com/port-stephens.html}} [[User:Randwicked|Randwicked]] <small>Alex B</small> 06:42, 13 March 2006 (UTC)'"
Boudh,copyright,content was: '{{copyvio|http://boudh.nic.in/webpage/content_file/history.htm}}[[sv:Boudh]]'
Rosario Isasi,copyright,"copyvio, will restore non vio version, but cleaning history . . . content was: ''''Rosario Isasi''' is an [[health]] and [[human rights]] attorney, whose research and work focuses on [[human genetic engineering|human genetic]] tec...'"
Enchant (band),copyright,copy vio tagged since 20 mar 2006 content was: '{{copyvio | url=http://www.theoasis.cc/}}[[pt:Enchant]]'
Egebamyasi (band),copyright,copy vio listed since 20 mar 2006 content was: '{{copyvio|url=http://www.egebamyasi.com/bieggraphy.html}}'
Crooms Academy of Information Technology,copyright,copyvio listed since 21 mar 2006 content was: '{{ copyvio | url=http://www.cait.scps.k12.fl.us/about/history.htm}}'
Guild of Play,copyright,csd A8
Larry Hillblom,copyright,CV Copyright violation listed for over seven days at [[WP:CP]]
BPitch Control,copyright,"content was: '{{copyvio | url=http://www.samurai.fm/bpitch/index.php}} [[User:Laura S|Laura S]] 01:57, 12 April 2006 (UTC)'"
Insurance Corporation of British Columbia,copyright,copyright violation
Malcom McLean,copyright,An article that is a blatant copyright infringement - http://www.forbes.com/home/global/2006/0313/030.html
Jaypee University of Information Technology,copyright,copyvio from [http://www.juit.ac.in/university.html]
Francis Peyton Rous,copyright,"Blatant copyvio, no paraphrasing, just a few words changed"
Swindon Supermarine F.C.,copyright,content was: '{{copyvio|url=http://www.swindonsupermarinefc.com/HISTORY/HISTORY.HTM}}'yep copyvio
Mangotsfield United F.C.,copyright,content was: '{{copyvio|url=http://mangos.freehosting.net/HISTORYMUFC.htm}}'yep copyvio
Kid Marvelman,copyright,copyvio of http://www.internationalhero.co.uk/k/kidmarvw.htm
Trypanosoma cruzi,copyright,copyvio of source which at minimum requires attriubtion http://ryoko.biosci.ohio-state.edu/~parasite/copyright.html
Frank Luntz,copyright,Vast majority copyvios of www.luntz.com and www.msnbc.msn.com/id/3226951/
Ship or vessel,copyright,"CSD-A3, also admitted CSD-A8"
Tyler James Williams,copyright,Copyvio
Twins ballpark,copyright,Commercial spam/copyvio
Background to the Vietnam War,copyright,remove copyvio revisions from http://www.saigontouring.com/body_overview.html
Philippine Savings Bank,copyright,"clear copyvio a user has created a new temp page which will be moved into the main space --content was: '{{copyvio|url=http://www.psbank.com.ph/history.htm}} [[User:Akira123323|Akira123323]] 16:14, 3 April 2006 (UTC)'"
Ali Akbar Moradi,copyright,Deleted as A8 copyvio.
S.C.I.F.I. World,copyright,"content was: '{{copyvio | url=http://earth2tv.com/page/12/}} [[User:Calton|Calton]] | [[User talk:Calton|Talk]] 06:26, 14 April 2006 (UTC)'yep copyvio"
Eliot Shapleigh,copyright,content was: '{{db-copyvio|url=http://www.shapleigh.org/biography.sstg}}'
Social Security Disability Insurance,copyright,Copyvio. See [[Wikipedia:Articles_for_deletion/Social_Security_Disability_Insurance]]
Storm Thorgerson,copyright,content was: '{{copyvio|http://www.takenbystorm.us/bio.php}}'
St Finnian,copyright,content was: '{{copyvio|url=http://www.irelandseye.com/irish/people/saints/finnian.shtm}}'
Geoff Collinson,copyright,content was: '{{copyvio|url=http://www.mifb.com.au/pages/gCollinson.php}}'
MON-200,copyright,"A8 - copyvio of http://72.14.203.104/search?q=cache:BQsTVXvTDHkJ:ndmic-cidnm.forces.gc.ca/landmine.asp%3Flang%3Df%26LandmineID%3D59%26printVersion%3D1+%22The+MON+200+is+a+very+large,+circular+sheet+metal+bodied+directional+A+pers+mine%22&hl=en&gl=us&ct=cl"
Pterospondylus,copyright,Copyvio from http://yahooligans.yahoo.com/content/science/dinosaurs/dino_card/415.html
XFA-27A,copyright,"Copyvio from http://www.acecombatskies.com/profiles.php?id=57, listed at [[WP:CP]] for one week."
Ahmad ibn Tulun,copyright,"copyvio, replacing with temp page"
Florian Zabach,copyright,content was: '{{copyvio|url=http://www.thetimes-tribune.com/site/index.cfm?newsid=16209249&BRD=2185&PAG=461&dept_id=415898&rfi=8}}'
1944 D-Day Operation Overlord,copyright,"A8 speedy deletion - All revisions blatant copyright infringement from commercial website, and the article is less than 48 hours old"
Project West Ford,copyright,"content was: '{{copyvio | url=http://www.damninteresting.com/?p=516}} [[User:146.115.230.23|146.115.230.23]] 03:26, 3 May 2006 (UTC)'"
Barbara Lawton,copyright,"content was: '{{copyvio | url=http://www.ltgov.state.wi.us/section.asp?linkid=632&locid=86}} [[User:MiraLuka|MiraLuka]] 05:37, 26 April 2006 (UTC)'"
Kurupt,copyright,content was: '{{copyvio|url=http://www.youngotti.com/ under Bio}}[[de:Kurupt]][[fr:Kurupt]]'
Carbon Disclosure Project,copyright,"Copyvio from http://www.cdproject.net/, listed at [[WP:CP]] for one week. Employee asserts permission on the talk page, however the employee probably doesn't have the authorization to do so."
Sturm und Drang,copyright,"serious copyvios from columbia encyclopedia alleged, please rewrite carefully"
Oobie,copyright,"Copyvio from http://www.oobiemusic.com/, listed at [[WP:CP]] for one week."
CKWR,copyright,"Copyvio from http://www.broadcasting-history.ca/listings_and_histories/radio/histories.php?id=327&historyID=124, content not licensed under a free license"
Cyril Norman Hugh Long,copyright,content was: '{{copyvio|url=http://fermat.nap.edu/books/0309022401/html/264.html}}'
Box (comics),copyright,content was: '{{copyvio|http://www.alphaflight.net/character_overviews/roger_bochs/}}'
PowerCADD,copyright,"copyvio, nonsense"
Pierre Milman,copyright,copyvio http://www.math.ca/MediaReleases/2004/res-prizes.html
Nicholas Scoppetta,copyright,copyvio http://www.law.harvard.edu/academics/cap/courses/policyspeakerbios.php
Stricken (song),copyright,copyvio http://www.angelfire.com/goth2/michicko/stricken.html
Willard White,copyright,copyvio http://www.joyousjam.com/jamaicasclassicalmusicians/id3.html
DJ Pierre,copyright,CSD A8
Slug (rapper),copyright,"content was: '{{Copyvio|url=http://music.download.com/atmosphere/ 3600-8543_32-100004053.html}}--[[User:ForbiddenWord|ForbiddenWord]] 18:55, 12 May 2006 (UTC)'"
Fylde R.C.,copyright,content was: '{{copyvio|url=http://www.fylderugby.co.uk/}}'
Robert William Seton-Watson,copyright,article is a copyvio (see http://www.ssees.ucl.ac.uk/archives/sew.htm)
Test anxiety,copyright,copyvio of http://www.campusblues.com/test.asp
Organic-phanes,copyright,A8
Cass Ole,copyright,content was: '{{copyvio | url=http://cassoleblackstallion.homestead.com/Story.html}}'
The Adventures of Montu miah,copyright,Copyvio - content was: '{{copyvio|url=http://www.e-frontier.com/article/articleview/419/1/388/}}'
Banker's algorithm,copyright,"alleged copyvio - no attempt to refute, therefore delete - content was: '{{copyvio|url=http://codex.cs.yale.edu/avi/os-book/os7/}}'"
Germatoid,copyright,content was: '{{copyvio|url=http://www.fortunecity.com/rivendell/everquest/90/S/stomoe.html}}'
Smeal College of Business,copyright,CSD A8; copyvio from http://www.smeal.psu.edu/smeal/history.html
Computer Chronicles,copyright,content was: '{{copyvio|url=http://www.archive.org/details/computerchronicles}}'
Medical Transcription,copyright,copyvio
Vimalamitra,copyright,copyvio
Fumio Toyoda,copyright,copyvio
Carnegie Mellon School of Architecture,copyright,"content was: '{{copyvio | url=http://www.arc.cmu.edu:8080/cmu/about_sa/history.jsp}} - Slo-mo 03:29, 27 May 2006 (UTC)'"
EMule,copyright,copyvio - untainted version to be restored
JFace,copyright,copyvio
Arthur Berriedale Keith,copyright,copyvio http://www.lib.ed.ac.uk/about/bgallery/Gallery/records/nineteen1/keith.html
Billy Boucher,copyright,copyvio - content was: '{{copyvio|url=http://www.legendsofhockey.net:8080/LegendsOfHockey/jsp/SearchPlayer.jsp?player=12058}}'
Arthur Goodwin,copyright,copyvio in history
Chicago College of Performing Arts,copyright,Copyvio - to be replaced
Abaye,copyright,copyvio - content was: '{{copyvio|http://www.ou.org/about/judaism/rabbis/abaye.htm}}[[fr:Abaye]][[he:אביי]]'
Culture of Montenegro,copyright,contains copyvio revisions
Sigma Alpha Mu,copyright,content was: '{{copyvio|url=http://www.sam.org/history.asp}}'
Parliamentarian of the United States Senate,copyright,copyvio http://www.c-span.org/questions/weekly44.htm
Indian Leopard,copyright,"copyvio- content was: '{{copyvio | url=http://www.wildlife-tour-india.com/indian-wildlife/leopard.html}}[[User:Koffieyahoo|Koffieyahoo]] 07:50, 9 June 2006 (UTC)'"
Wine cellar,copyright,Purge copyvio history
John Abele,copyright,Copyvio - content was: '{{Copyvio|http://www.usfirst.org/about/bio_Abele.htm}}'
Ashis Nandy,copyright,copyvio - content was: '{{copyvio|http://www.english.emory.edu/Bahri/NANDY.HTM}}'
Mahua,copyright,CSD-A8 from http://banglapedia.search.com.bd/HT/M_0076.htm
Dave Naz,copyright,speedy A8 (http://www.davenaz.com/bio.html)
Hunter syndrome,copyright,Delete to purge copyvio from history
Name That Video,copyright,copyvio - content was: '{{copyvio | url=http://70.85.192.194/~loogsla/gameshow/rules/nametune.shtml}}'
Cartophilly,copyright,"This article was created in the last 48 hours and all of its revisions are a blatant copyright infringement from the website of a commercial content provider: http://www.cigarettecards.co.uk/intro.htm, with no assertion of permission."
Adultry,copyright,purge copyvio
Charles E. Young,copyright,copyvio
Hazelwood Central High School,copyright,"Copyvios in history, will remove"
Hans Renold,copyright,A8
Tyndale University College & Seminary,copyright,purge history of copyvio content; redirect will be re-created here
Challenge of the Samurai,copyright,blatant copyvio of http://bulbapedia.bulbagarden.net/wiki/Challenge_of_the_Samurai
Showdown in Pewter City,copyright,blatant copyvio of http://bulbapedia.bulbagarden.net/wiki/Showdown_in_Pewter_City
108 (band),copyright,"content was: '{{db-copyvio|url=http://www.rockdetector.com/officialbio,8.sm;jsessionid=5F413EB27119369AD40947BD0F212508}}'"
Andrea Echeverri,copyright,copyvio
Asian Pacific American Heritage Festival,copyright,cooyvio; content was: '{{copyvio | url=http://www.capaonline.org/festival.htm}}'
Chemical peel,copyright,copyvio to be replaced - content was: '{{copyvio | url=http://www.skinsite.com/info_tca_peels.htm}}'
Hastings Pier,copyright,copyvio
Singrauli,copyright,content was: '{{copyvio|http://www.e-singrauli.com/index.htm}}'
Andrew Charlton,copyright,"copyvio content was: '{{copyvio| [http://www.adb.online.anu.edu.au/biogs/A070627b.htm Australian online Dictionary], [http://www.abc.net.au/austory/content/2006/s1653285.ht...'"
History of the Jews in Switzerland,copyright,content was: '{{copyright|http://switzerland.isyours.com/e/guide/religion/judaism.html}}'
OECD Guidelines for Multinational Enterprises,copyright,[[WP:CSD|CSD A8]] -- content was: '{{db|This copyright violation was identified more than 7 days ago and has had no claim of permission or ownership. All or nearly all of it is an ident...'
Rachel Kaprielian,copyright,A8: copyright violation
G3 (band),copyright,copyvio listed since 7/3/06
Cole Konrad,copyright,content was: '{{db|This copyright violation was identified more than 7 days ago and has had no claim of permission or ownership. All or nearly all of it is an ident...'
Scott Sonnon,copyright,copyvio per [[WP:CP]]
Rolf Cahn,copyright,copyright issues / notability / per CSD
Evridiki,copyright,copyvio from http://artists.endless-greece.com/evridiki.php
Cochlospermaceae,copyright,copyvio from http://www.biologie.uni-hamburg.de/b-online/delta/angio/www/cochlosp.htm
National Organization of Short Statured Adults,copyright,copyvio from http://nossaonline.org/aboutus.html
Herman Feshbach,copyright,content was: '{{copyvio | url=http://web.mit.edu/newsoffice/2000/feshbach.html}}'
Frederick Holbrook,copyright,copyvio http://www.vermontcivilwar.org/state/bios.php?input=3022
Instant Teen: Just Add Nuts,copyright,copyvio
British Columbia Securities Commission,copyright,content was: '{{copyvio | url=http://www.bcsc.bc.ca/about.asp}}'
Latin Trade,copyright,content was: '{{copyvio|url=http://www.latintrade.com/media-kit.asp}}'
St John's Grammar School,copyright,content was: '{{copyvio1}}http://www.stjohns.sa.edu.au/history.htmhttp://www.stjohns.sa.edu.au/middle_school.htmhttp://www.stjohns.sa.edu.au/jun_sch.htmhttp://w...'
Jay Leonhart,copyright,content was: '{{db-copyvio|url=http://www.jayleonhart.com/bio.html}}'
GeeSui Ng,copyright,content was: '{{db-copyvio}}   Please see copyrighted materials at external link: [http://www.geocities.com/Tokyo/3919/s089.html](All Romanizing of names are in t...'
Ernie Paniccioli,copyright,"copyvio concerns from http://www.zulunation.com/famous.html and other problems, see talk"
Society of Professional Engineers UK,copyright,content was: '{{copyvio|url=http://www.diagnosticengineers.org/SPE%20Membership%20Guide.doc}}'
Glukoza,copyright,content was: '{{copyvio|url=http://glukozanostra.com/bio.php}}'
Roundhouse Railroad Museum,copyright,blatent copyvio from www.chsgeorgia.org/roundhouse/
Babasaheb Ambedkar Technological University,copyright,[[Wikipedia:Copyright problems/2006 July 20/Articles]]
SM-2,copyright,[[Wikipedia:Copyright problems/2006 July 20/Articles]]
The Marching Virginians,copyright,copyvio [http://www.music.vt.edu/performance/ensembles/mv/factshistory.shtml]
Sabrina Houssami,copyright,copyvio
"SofTech, Inc.",copyright,A8
Enon Chapel,copyright,content was: '{{copyvio| url=http://www.doubleo.fsnet.co.uk/bgclementdanes.htm}}'
Jesus Camp,copyright,"Copyright violation of a copyrighted (""2004-2006 © Emanuel Levy"") non-GFDL web page."
Physical vapor deposition,copyright,copyvio http://uk.geocities.com/pvd_coatings/home.html
Mike Esposito (comics),copyright,content was: '{{copyvio|url=http://www.mightymikeespo.net/}}'
Paul O'Prey,copyright,content was: '{{copyvio | url=http://www.roehampton.ac.uk/about/governance/pauloprey.html}}'
Dmitry Grigorovich,copyright,A7/A8
FQ Story,copyright,copyvio
CR Classification,copyright,content was: '{{copyvio | url=http://www.acm.org/class/1998/overview.html}}'
Cable in the Classroom,copyright,content was: '{{copyvio|url=http://www.ciconline.org/AboutCIC/faqs/default.htm}}'
Wahdat al-Wajood,copyright,content was: '{{copyvio|url=http://www.ahya.org/tjonline/eng/03/3index.htm}}[[fr:Wahdat al-wujud]][[ru:Вахдад ал-вуджуд]]'
Scott Peters,copyright,copyvio
Protein ontology,copyright,content was: '{{copyvio|url=http://proteinontology.info/about.htm}}'
The Black Unicorn,copyright,"content was: '{{advert}}{{copyvio | url=""http://www.iblist.com/book402.htm""}}'''''The Black Unicorn''''' (1987) by [[Terry Brooks]] is the second novel of the [[M...'"
First Australian Imperial Force dental units,copyright,copyvio http://www.unsw.adfa.edu.au/~rmallett/Dental.html
May Hariri,copyright,content was: '{{copyvio|url=http://www.3arabiavideo.com/singers/may_hariri.html}}'
Burning Ambition,copyright,copyvio http://www.interpunk.com/item.cfm?Item=61076&
Dust collection,copyright,"Listed on WP:CP since August 1, content was: '{{cleanup-date|December 2005}}{{merge|Dust collection system}}{{copyvio | url=http://www.prbcoals.com/pdf/PRBCoalInformation/Power-Oct03-Dustcontro...'"
Jackie Pullinger,copyright,copyvio
Serart,copyright,copyvio
Stephen Lunsford,copyright,Listed on [[WP:CP]] for over a week. content was: '{{copyvio | url=http://imdb.com/name/nm1736524/}}==External link==*[http://imdb.com/name/nm1736524/ Stephen Lunsford] at the [[IMDB]][[Category:1...'
Megaproject,copyright,Delete copyright infringement from page history
"Noosaville, Queensland",copyright,CSD A8
Tamer Hassan,copyright,"speedy A8, copvio of http://www.tamerhassan.co.uk/bio.html"
Mukden Medical College,copyright,temp; remove copyvio
Wizard at Large,copyright,"Deleted copyvio, one of several, from http://www.terrybrooks.net"
Lake Region High School,copyright,content was: '{{copyvio | url=http://lakeregionthunder.com/03AboutLRHS/03aboutLRHS.html}}'
Steorn Ltd,copyright,"self-admitted copyvio (see talk page), will re-create as redir"
Salvage title,copyright,copyvio http://www.carfax.com/Definitions/Glossary.cfm
Maureen Colquhoun,copyright,"Copyvio, deleting to restore good content"
Joe Madison,copyright,"Copyvio, listed on Wikipedia:Copyright problems for over a week,  from http://www.joemadison.com/bio.htm"
Advanced International Certificate of Education,copyright,"Copyvio, listed on Wikipedia:Copyright problems for over a week, content was: '{{copyvio|url=http://www.clay.k12.fl.us/oph/cambridge_facts.htm}}'"
Institute on Biotechnology and the Human Future,copyright,csd a8 http://www.thehumanfuture.org/about/
College of Social Studies,copyright,Blatant copyvio
Hand dancing,copyright,Copyvio
Madhu Omalloor,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week, content was: '{{copyvio | url=http://www.kalakeralam.com/cartoons/directory/madhuomallur.htm}}'"
Pentecostal Mission,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week, content was: '{{Copyvio|http://www.missionstudies.org/conference/1papers/fp/Roger_Hedlund_Full_Paper.pdf page 8-9}}'"
Skye Terrier,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week, content was: '{{copyvio|url=http://www.dogs.pk/breeds/skye_terrier.htm}}[[de:Skye Terrier]][[pl:Skye terrier]][[fi:Skyenterrieri]]'"
VT-86,copyright,speedy copyvio of http://www.globalsecurity.org/military/agency/navy/vt-86.htm
Hugo Pool,copyright,Blatant copyright infringement ([[WP:CSD#A8|CSD A8]])
Calder v. Bull,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week, content was: '{{copyvio|url=http://www.oyez.org/oyez/resource/case/62/}}[[Category:1798 in law]][[Category:United States Supreme Court cases]][[Category:United ...'"
François Duprat,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week"
The City Drive,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week, content was: '{{copyvio|http://www.the-city-drive.com/always/html/bio.html}}'"
Ray Suarez,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week"
Marie-Marguerite d'Youville,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week"
British Gas plc,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week, content was: '{{copyvio|url=http://www.centrica.co.uk/index.asp?pageid=397}}'"
List of Xena: Warrior Princess episodes,copyright,One big copyright violation and improper use of fair use images
Universal Image Format,copyright,G11/A8
The Art of Reasoning,copyright,"temporary deletion, removing copyvio revisions from history"
Autophobia,copyright,cut and paste copyvio
Chirala,copyright,"Copyvio, listed on [[Wikipedia:Copyright problems]] for over a week, content was: '{{copyvio | url=http://chirala.com/aboutchirala.htm}}'"
